college_code,branch,category,exam_type,cutoff_percentile,round_number,seats_available
COEP,Computer Engineering,OPEN,CET,99.41,1,30
COEP,Computer Engineering,OPEN,CET,98.77,2,30
COEP,Computer Engineering,OBC,CET,95.94,1,120
COEP,Computer Engineering,OBC,CET,95.46,2,90
COEP,Computer Engineering,SC,CET,84.8,1,120
COEP,Computer Engineering,SC,CET,84.3,2,120
COEP,Computer Engineering,ST,CET,79.54,1,90
COEP,Computer Engineering,ST,CET,78.75,2,90
COEP,Computer Engineering,EWS,CET,96.47,1,60
COEP,Computer Engineering,EWS,CET,95.87,2,30
COEP,Computer Engineering,TFWS,CET,97.48,1,90
COEP,Computer Engineering,TFWS,CET,97.01,2,30
COEP,Information Technology,OPEN,CET,99.05,1,30
COEP,Information Technology,OPEN,CET,98.74,2,30
COEP,Information Technology,OBC,CET,95.35,1,120
COEP,Information Technology,OBC,CET,94.7,2,30
COEP,Information Technology,SC,CET,83.81,1,60
COEP,Information Technology,SC,CET,83.43,2,90
COEP,Information Technology,ST,CET,78.88,1,120
COEP,Information Technology,ST,CET,78.31,2,120
COEP,Information Technology,EWS,CET,96.29,1,60
COEP,Information Technology,EWS,CET,95.65,2,120
COEP,Information Technology,TFWS,CET,97.01,1,60
COEP,Information Technology,TFWS,CET,96.38,2,120
COEP,Mechanical Engineering,OPEN,CET,96.8,1,120
COEP,Mechanical Engineering,OPEN,CET,96.02,2,30
COEP,Mechanical Engineering,OBC,CET,92.62,1,120
COEP,Mechanical Engineering,OBC,CET,92.03,2,30
COEP,Mechanical Engineering,SC,CET,81.75,1,60
COEP,Mechanical Engineering,SC,CET,81.38,2,90
COEP,Mechanical Engineering,ST,CET,76.6,1,120
COEP,Mechanical Engineering,ST,CET,76.28,2,60
COEP,Mechanical Engineering,EWS,CET,93.39,1,120
COEP,Mechanical Engineering,EWS,CET,92.63,2,90
COEP,Mechanical Engineering,TFWS,CET,94.64,1,60
COEP,Mechanical Engineering,TFWS,CET,94.21,2,60
COEP,Electronics & Telecommunication,OPEN,CET,97.83,1,60
COEP,Electronics & Telecommunication,OPEN,CET,97.22,2,30
COEP,Electronics & Telecommunication,OBC,CET,93.68,1,30
COEP,Electronics & Telecommunication,OBC,CET,93.21,2,30
COEP,Electronics & Telecommunication,SC,CET,82.92,1,120
COEP,Electronics & Telecommunication,SC,CET,82.61,2,120
COEP,Electronics & Telecommunication,ST,CET,77.53,1,60
COEP,Electronics & Telecommunication,ST,CET,76.83,2,60
COEP,Electronics & Telecommunication,EWS,CET,94.66,1,90
COEP,Electronics & Telecommunication,EWS,CET,93.94,2,120
COEP,Electronics & Telecommunication,TFWS,CET,95.66,1,120
COEP,Electronics & Telecommunication,TFWS,CET,95.01,2,90
COEP,Civil Engineering,OPEN,CET,94.32,1,90
COEP,Civil Engineering,OPEN,CET,93.58,2,90
COEP,Civil Engineering,OBC,CET,90.56,1,90
COEP,Civil Engineering,OBC,CET,90.16,2,30
COEP,Civil Engineering,SC,CET,79.84,1,90
COEP,Civil Engineering,SC,CET,79.32,2,60
COEP,Civil Engineering,ST,CET,74.43,1,120
COEP,Civil Engineering,ST,CET,73.77,2,120
COEP,Civil Engineering,EWS,CET,91.51,1,60
COEP,Civil Engineering,EWS,CET,91.17,2,120
COEP,Civil Engineering,TFWS,CET,92.7,1,60
COEP,Civil Engineering,TFWS,CET,91.96,2,60
COEP,Electrical Engineering,OPEN,CET,96.31,1,30
COEP,Electrical Engineering,OPEN,CET,95.51,2,60
COEP,Electrical Engineering,OBC,CET,92.13,1,90
COEP,Electrical Engineering,OBC,CET,91.59,2,90
COEP,Electrical Engineering,SC,CET,81.2,1,30
COEP,Electrical Engineering,SC,CET,80.52,2,30
